iter	Passed	Remaining
0	1035	516942
1	1929	480342
2	2781	460725
3	3692	457905
4	4517	447281
5	5357	441087
6	6188	435877
7	6837	420493
8	7642	416965
9	8480	415544
10	9241	410818
11	10009	407069
12	10795	404414
13	11659	404747
14	12526	405028
15	13405	405519
16	14275	405602
17	15078	403774
18	15857	401442
19	16620	398886
20	17388	396615
21	18169	394764
22	18950	393023
23	19697	390667
24	20444	388447
25	21206	386602
26	21973	384938
27	22739	383322
28	23473	381237
29	24275	380316
30	25049	378976
31	25900	378791
32	26637	376964
33	27404	375607
34	28132	373761
35	28896	372442
36	29671	371295
37	30439	370083
38	31199	368790
39	31936	367275
40	32682	365880
41	33419	364431
42	34175	363210
43	34958	362298
44	35707	361045
45	36463	359878
46	37231	358849
47	38015	357982
48	38858	357652
49	39638	356742
50	40445	356078
51	41212	355059
52	41992	354164
53	42754	353123
54	43472	351736
55	44222	350618
56	45007	349795
57	45708	348328
58	46454	347228
59	47191	346070
60	47962	345171
61	48692	343986
62	49421	342812
63	50172	341800
64	50892	340585
65	51672	339788
66	52426	338813
67	53230	338171
68	54068	337733
69	54839	336873
70	55618	336058
71	56376	335129
72	57172	334422
73	57921	333441
74	58678	332510
75	59390	331334
76	60161	330498
77	60919	329590
78	61651	328550
79	62408	327645
80	63145	326642
81	63880	325636
82	64597	324543
83	65302	323403
84	66060	322532
85	66748	321322
86	67478	320326
87	68206	319330
88	68948	318401
89	69676	317416
90	70408	316449
91	71256	316008
92	72072	315413
93	72961	315132
94	73776	314520
95	74543	313705
96	75274	312739
97	76011	311800
98	76738	310829
99	77480	309921
100	78275	309226
101	78991	308223
102	79758	307417
103	80475	306426
104	81224	305559
105	81936	304555
106	82662	303610
107	83404	302727
108	84183	301978
109	84923	301091
110	85644	300140
111	86380	299247
112	87119	298365
113	87790	297254
114	88507	296309
115	89236	295402
116	89969	294514
117	90696	293611
118	91424	292711
119	92171	291876
120	92891	290957
121	93623	290078
122	94327	289117
123	95042	288192
124	95770	287312
125	96512	286473
126	97290	285742
127	98009	284839
128	98749	284001
129	99491	283169
130	100202	282249
131	100915	281338
132	101635	280453
133	102387	279655
134	103107	278772
135	103881	278035
136	104642	277264
137	105439	276588
138	106216	275857
139	106988	275112
140	107742	274323
141	108480	273493
142	109205	272632
143	109916	271738
144	110640	270877
145	111387	270077
146	112103	269201
147	112837	268370
148	113568	267533
149	114319	266746
150	115041	265889
151	115753	265014
152	116457	264122
153	117188	263293
154	117918	262464
155	118600	261528
156	119317	260674
157	120031	259815
158	120772	259015
159	121490	258167
160	122220	257346
161	122932	256487
162	123658	255661
163	124396	254862
164	125116	254025
165	125823	253163
166	126573	252388
167	127288	251546
168	128026	250749
169	128780	249985
170	129496	249147
171	130201	248291
172	130962	247541
173	131767	246874
174	132602	246261
175	133423	245619
176	134244	244977
177	134974	244166
178	135710	243369
179	136408	242503
180	137144	241707
181	137931	241000
182	138815	240461
183	139617	239777
184	140444	239135
185	141148	238283
186	141869	237461
187	142565	236598
188	143276	235762
189	144027	234991
190	144801	234260
191	145611	233585
192	146351	232798
193	147065	231968
194	147788	231156
195	148526	230367
196	149266	229582
197	149957	228723
198	150706	227953
199	151429	227144
200	152146	226327
201	152869	225521
202	153643	224788
203	154404	224037
204	155109	223206
205	155816	222379
206	156558	221602
207	157278	220794
208	157984	219968
209	158727	219195
210	159514	218482
211	160250	217699
212	160991	216922
213	161739	216156
214	162498	215404
215	163220	214605
216	163992	213870
217	164728	213089
218	165507	212363
219	166209	211539
220	166939	210751
221	167637	209924
222	168364	209133
223	169101	208357
224	169924	207685
225	170674	206923
226	171454	206198
227	172211	205445
228	172988	204715
229	173764	203984
230	174563	203279
231	175350	202560
232	176058	201749
233	176800	200978
234	177559	200227
235	178232	199379
236	178951	198582
237	179683	197803
238	180445	197055
239	181190	196289
240	181907	195493
241	182622	194696
242	183371	193936
243	184103	193158
244	184837	192382
245	185584	191619
246	186314	190840
247	187054	190071
248	187766	189274
249	188472	188472
250	189196	187688
251	189976	186961
252	190776	186252
253	191599	185564
254	192441	184895
255	193269	184209
256	194053	183482
257	194896	182809
258	195794	182186
259	196567	181446
260	197331	180698
261	198064	179921
262	198790	179138
263	199484	178327
264	200229	177562
265	200957	176782
266	201703	176018
267	202414	175224
268	203128	174433
269	203838	173640
270	204587	172880
271	205326	172112
272	206054	171334
273	206805	170576
274	207553	169816
275	208298	169053
276	209024	168276
277	209701	167459
278	210433	166687
279	211183	165930
280	211935	165174
281	212672	164406
282	213381	163617
283	214127	162857
284	214852	162081
285	215553	161288
286	216293	160524
287	217123	159826
288	217837	159043
289	218575	158278
290	219292	157498
291	220045	156744
292	220773	155973
293	221484	155189
294	222211	154418
295	222974	153671
296	223712	152908
297	224433	152133
298	225172	151370
299	225908	150605
300	226631	149832
301	227360	149064
302	228111	148310
303	228871	147561
304	229575	146777
